id,filename,alt,decodedWidth,decodedHeight,focusScore,heroSuitable,gallerySuitable,flags,error
med_0008654109f426694f4a530e,000754-efa16a96c3a4f215d8b6213508036ea18896e977.jpeg,Adam Ondra and Rockbusters Siurana.jpg,4040,2712,1649.02,true,true,,
med_001a3e5953019d496b44e569,000189-f5c89dcd0025ddc26cb182d3283e861812f6382c.jpeg,Kerstin Margalef 5.jpg,3519,2243,608.59,true,true,,
med_009e9701f95d70123808521b,001373-22986fc25067d6eb56774f0c15b03b5d7053b87f.jpeg,DSCF2034.jpg,912,684,2565.11,false,false,gallery-resolution-too-small;hero-resolution-too-small,
med_00b7fa264efbf46a3e454706,000749-ae73d6e5d20c8e87ccf84fa528313988f37f200b.jpeg,Johann Adam Ondra & Patxi Usobiaga work shop Rockbusters.net (3).jpg,1000,1500,738.19,false,true,hero-resolution-too-small,
med_00d24ad9660fbb831f838d59,001045-ee096dc37927c698a2484d9610e2f77a2b47212e.jpeg,lindule.jpeg,500,500,660.54,false,false,gallery-resolution-too-small;hero-resolution-too-small,
med_00d80ec973541d08c95c7ae5,000797-e49b5cd269bce03aea03ae78ae16c933962213ca.jpeg,bouldering Albarracin.jpg,,,,false,false,unreadable,The operation was aborted due to timeout
med_010319af5c01aeeca140d634,000507-096208c7de0a8818c195ac8b074c8211b49340e2.jpeg,Monserat Paret de Diables y la sombra de la aguja Caval Bernat.JPG,4608,3456,1388.77,true,true,,
med_013b63a97e5d7f7aa1cf4ba7,000918-e145b6378aef803b2211a38d0340434bd3443d58.jpeg,"Jany, Chamonix, Aiguille du Midi, Contamine 7a+, rockbusters.net.jpg",1200,358,2608.2,false,false,gallery-resolution-too-small;hero-resolution-too-small,
med_016f9aa742923d18ea6f193f,000216-56c0268479fb51460eb54e72d6ba790a1ba02e7b.jpeg,alex margaler 2.jpg,640,960,1439.37,false,false,gallery-resolution-too-small;hero-resolution-too-small,
med_017120a194fe70fdadb8f774,000134-e328deb89356ab9b270420e94ca5e75e7ef0ebcc.jpeg,Minoru Finale Ligure 4.jpg,4000,2248,1081.38,true,true,,
med_01725a97dfb6c8563e9374da,001248-0d2fac8b9f7e484667f9d7a29c623373ff961db7.jpeg,Klemen Klondike Cat 11- Frankenjura rockbusters.net 9.jpg,4375,2917,1349.36,true,true,,
med_01956a89fd0213016cac7dd7,000548-7a4e2225dcc78b0d48528007483ee743271774f6.jpeg,Rodellar.JPG,3648,2736,1184.1,true,true,,
