oldUrl,oldPath,urlType,inOldSitemap,discoveredFromFutureEventPage,linkedFromOldEvent,tier,auditClassification,auditTargetCandidate,auditTargetStatus,auditCategorySlug,tier1DateTargetCandidate,tier1DateTargetStatus,payloadDateId
https://rockbusters.net/,/,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/event-date/,/event-date,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/private-guiding,/private-guiding,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/location/,/location,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/team-member/,/team-member,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/blog/,/blog,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/contact,/contact,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/event-date/sport-climbing--2018-07-07-190,/event-date/sport-climbing--2018-07-07-190,event-date,true,false,,,historical-slug-backfill-review,/trips?category=sport-climbing-holidays,category-fallback-ready,sport-climbing-holidays,,,
https://rockbusters.net/event-date/sport-climbing--2018-07-07-189,/event-date/sport-climbing--2018-07-07-189,event-date,true,false,,,historical-slug-backfill-review,/trips?category=sport-climbing-holidays,category-fallback-ready,sport-climbing-holidays,,,
https://rockbusters.net/event-date/sport-climbing--2018-07-14-191,/event-date/sport-climbing--2018-07-14-191,event-date,true,false,,,historical-slug-backfill-review,/trips?category=sport-climbing-holidays,category-fallback-ready,sport-climbing-holidays,,,
https://rockbusters.net/event-date/sandstone-climbing--2018-08-11-177,/event-date/sandstone-climbing--2018-08-11-177,event-date,true,false,,,historical-slug-backfill-review,/trips?category=trad-multipitch,category-fallback-empty-category,trad-multipitch,,,
https://rockbusters.net/event-date/climbing-trip-europe--2018-08-18-149,/event-date/climbing-trip-europe--2018-08-18-149,event-date,true,false,,,historical-slug-backfill-review,/trips?category=expeditions,category-fallback-ready,expeditions,,,
https://rockbusters.net/event-date/deep-water-solo-mallorca--2018-10-20-155,/event-date/deep-water-solo-mallorca--2018-10-20-155,event-date,true,false,,,evergreen-candidate,/trips/deep-water-solo-mallorca/mallorca,ready-indexable-equivalent-variant,,,,
https://rockbusters.net/event-date/christmas-climbing-holiday--2018-12-22-184,/event-date/christmas-climbing-holiday--2018-12-22-184,event-date,true,false,,,identity-unresolved,/trips?category=sport-climbing-holidays,category-fallback-ready,sport-climbing-holidays,,,
https://rockbusters.net/event-date/climbing-trip-spain--2019-03-30-195,/event-date/climbing-trip-spain--2019-03-30-195,event-date,true,false,,,historical-slug-backfill-review,/trips?category=expeditions,category-fallback-ready,expeditions,,,
https://rockbusters.net/event/deep-water-solo-mallorca,/event/deep-water-solo-mallorca,event,true,false,,tier-1-event-with-future-dates,single-evergreen-candidate,/trips/deep-water-solo-mallorca/mallorca,ready-indexable-variant,,,,
https://rockbusters.net/event/climbing-trip-europe,/event/climbing-trip-europe,event,true,false,,tier-1-event-with-future-dates,indexable-parent-hub-candidate,/trips/europe-rock-climbing-trip,ready-indexable-parent-hub,,,,
https://rockbusters.net/event/sport-climbing,/event/sport-climbing,event,true,false,,tier-1-event-with-future-dates,indexable-parent-hub-candidate,/trips/sport-climbing,ready-indexable-parent-hub,,,,
https://rockbusters.net/event/girls-climbing,/event/girls-climbing,event,true,false,,tier-1-event-with-future-dates,single-evergreen-candidate,/trips/woman-climbing/cuenca,ready-indexable-variant,,,,
https://rockbusters.net/test-center/,/test-center,other-site-url,true,false,,,,,,,,,
https://rockbusters.net/partner/,/partner,other-site-url,true,false,,,,,,,,,
