source,type,parentSlug,parentStatus,legacyDateSource,variantContextCandidate,activeCategoryFutureDateCounts,draftCategoryFallbackCandidate,next
"/event-date/christmas-climbing-holiday--2018-12-22-184","dated","christmas-climbing-holiday","unpublished","found","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event-date/alpine-rock-climbing-in-chamonix--2018-07-28-201","dated","big-wall-climbing-in-chamonix","published","found","","trad-multipitch:0","","verify-date-identity-and-archive-content"
"/event-date/climbing-trip-europe--2018-08-25-160","dated","europe-rock-climbing-trip","published","found","/trips/europe-rock-climbing-trip/frankenjura","expeditions:17|sport-climbing-holidays:47","","review-exact-context-evergreen"
"/event-date/alpine-rock-climbing-in-chamonix--2018-08-25-202","dated","big-wall-climbing-in-chamonix","published","found","","trad-multipitch:0","","verify-date-identity-and-archive-content"
"/event-date/climbing-trip-europe--2018-09-01-161","dated","europe-rock-climbing-trip","published","found","/trips/europe-rock-climbing-trip/zillertal","expeditions:17|sport-climbing-holidays:47","","review-exact-context-evergreen"
"/event-date/christmas-climbing-holiday--2018-12-22-185","dated","christmas-climbing-holiday","unpublished","found","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event-date/christmas-climbing-holiday--2018-12-29-186","dated","christmas-climbing-holiday","unpublished","found","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event-date/trad-and-multipitch-climbing--2019-04-27-207","dated","multipitch-climbing-course","published","missing","","trad-multipitch:0","","verify-date-identity-and-archive-content"
"/event-date/klemen-becan-performance-coaching-workshop--2019-05-18-204","dated","climbing-technique-mental-coaching","published","missing","","performance-technique-camps:8","","verify-date-identity-and-archive-content"
"/event-date/klemen-becan-performance-coaching-workshop--2019-05-25-209","dated","climbing-technique-mental-coaching","published","missing","","performance-technique-camps:8","","verify-date-identity-and-archive-content"
"/event-date/girls-climbing--2019-06-15-205","dated","woman-climbing","published","missing","","sport-climbing-holidays:47","","verify-date-identity-and-archive-content"
"/event-date/girls-climbing--2019-06-15-210","dated","woman-climbing","published","missing","","sport-climbing-holidays:47","","verify-date-identity-and-archive-content"
"/event-date/girls-climbing--2019-06-22-211","dated","woman-climbing","published","missing","","sport-climbing-holidays:47","","verify-date-identity-and-archive-content"
"/event-date/klemen-becan-performance-coaching-workshop--2018-07-14-203","dated","climbing-technique-mental-coaching","published","found","","performance-technique-camps:8","","verify-date-identity-and-archive-content"
"/event-date/climbing-trip-europe--2018-08-25-183","dated","europe-rock-climbing-trip","published","found","/trips/europe-rock-climbing-trip/frankenjura","expeditions:17|sport-climbing-holidays:47","","review-exact-context-evergreen"
"/event-date/sport-climbing--2018-10-06-188","dated","sport-climbing","published","found","","sport-climbing-holidays:47","","verify-date-identity-and-archive-content"
"/event-date/adam-ondra-patxi-usobiaga-work-shop--2018-03-17-140","dated","adam-ondra-patxi-usobiaga-work-shop","unpublished","found","","performance-technique-camps:8","/trips?category=performance-technique-camps","verify-legacy-identity-or-serve-404-410-with-links"
"/event-date/adam-ondra-patxi-usobiaga-work-shop--2018-03-10-132","dated","adam-ondra-patxi-usobiaga-work-shop","unpublished","found","","performance-technique-camps:8","/trips?category=performance-technique-camps","verify-legacy-identity-or-serve-404-410-with-links"
"/event/singing-rock-mobile-test-center","event","singing-rock-mobile-test-center","unpublished","n/a","","","","verify-legacy-identity-or-serve-404-410-with-links"
"/event/climbing-weekends","event","climbing-weekends","unpublished","n/a","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event/christmas-climbing-holiday","event","christmas-climbing-holiday","unpublished","n/a","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event/easter-climbing-in-sella","event","easter-climbing-in-sella","unpublished","n/a","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event/rockbusters-climbing-express","event","rockbusters-climbing-express","unpublished","n/a","","custom-trips:0","","verify-legacy-identity-or-serve-404-410-with-links"
"/event/rockbusters-private-guiding","event","rockbusters-private-guiding","unpublished","n/a","","private-coaching:0","","verify-legacy-identity-or-serve-404-410-with-links"
"/event/biomechanica-funcional","event","biomechanica-funcional","unpublished","n/a","","performance-technique-camps:8","/trips?category=performance-technique-camps","verify-legacy-identity-or-serve-404-410-with-links"
"/event/adam-ondra-patxi-usobiaga-work-shop","event","adam-ondra-patxi-usobiaga-work-shop","unpublished","n/a","","performance-technique-camps:8","/trips?category=performance-technique-camps","verify-legacy-identity-or-serve-404-410-with-links"
"/event/daila-ojeda-climbing-work-shop","event","daila-ojeda-climbing-work-shop","unpublished","n/a","","performance-technique-camps:8","/trips?category=performance-technique-camps","verify-legacy-identity-or-serve-404-410-with-links"
"/event/alpine-rock-climbing-in-chamonix","event","big-wall-climbing-in-chamonix","published","n/a","","trad-multipitch:0","","review-event-content-and-parent-route"
"/event/klemen-becan-performance-coaching-privat","event","klemen-becan-performance-coaching-privat","unpublished","n/a","","private-coaching:0","","verify-legacy-identity-or-serve-404-410-with-links"
"/event/deep-water-solo-sailing-mallorca","event","deep-water-solo-sailing-mallorca","unpublished","n/a","","sport-climbing-holidays:47","/trips?category=sport-climbing-holidays","verify-legacy-identity-or-serve-404-410-with-links"
"/event/rockbusters-summer-2018","event","rockbusters-summer-2018","unpublished","n/a","","","","verify-legacy-identity-or-serve-404-410-with-links"
