oldUrl,oldPath,oldFamily,inOldSitemap,unchangedPathInNewSitemap,candidateTarget,candidateInNewSitemap,mappingClass,candidateSource,clearReplacementClass,clearReplacementTarget,reasonWithoutClearReplacement
https://rockbusters.net/,/,/,true,true,,false,unreviewed,,same-listed-path,/,
https://rockbusters.net/event-date/,/event-date,/event-date,true,false,/trips,true,unreviewed,legacy-redirect-decisions.json,approved-browse-index-successor,/trips,
https://rockbusters.net/private-guiding,/private-guiding,/private-guiding,true,false,/trips,true,unreviewed,legacy-redirect-decisions.json,,,approved-browse-fallback-not-equivalent
https://rockbusters.net/location/,/location,/location,true,false,/destinations,true,unreviewed,sitemap-redirect-mapping.csv,browse-index-successor,/destinations,
https://rockbusters.net/team-member/,/team-member,/team-member,true,false,/team,true,unreviewed,sitemap-redirect-mapping.csv,browse-index-successor,/team,
https://rockbusters.net/blog/,/blog,/blog,true,true,,false,unreviewed,,same-listed-path,/blog,
https://rockbusters.net/contact,/contact,/contact,true,true,,false,unreviewed,,same-listed-path,/contact,
https://rockbusters.net/event-date/sport-climbing--2018-07-07-190,/event-date/sport-climbing--2018-07-07-190,/event-date,true,false,/trips?category=sport-climbing-holidays,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/sport-climbing--2018-07-07-189,/event-date/sport-climbing--2018-07-07-189,/event-date,true,false,/trips?category=sport-climbing-holidays,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/sport-climbing--2018-07-14-191,/event-date/sport-climbing--2018-07-14-191,/event-date,true,false,/trips?category=sport-climbing-holidays,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/sandstone-climbing--2018-08-11-177,/event-date/sandstone-climbing--2018-08-11-177,/event-date,true,false,/trips?category=trad-multipitch,false,category-fallback-empty-category,legacy-redirect-decisions.json,,,category-fallback-empty-category
https://rockbusters.net/event-date/climbing-trip-europe--2018-08-18-149,/event-date/climbing-trip-europe--2018-08-18-149,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/deep-water-solo-mallorca--2018-10-20-155,/event-date/deep-water-solo-mallorca--2018-10-20-155,/event-date,true,false,/trips/deep-water-solo-mallorca/mallorca,true,ready-indexable-equivalent-variant,all-old-url-inventory.csv,historical-equivalent-variant,/trips/deep-water-solo-mallorca/mallorca,
https://rockbusters.net/event-date/christmas-climbing-holiday--2018-12-22-184,/event-date/christmas-climbing-holiday--2018-12-22-184,/event-date,true,false,/trips?category=sport-climbing-holidays,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/climbing-trip-spain--2019-03-30-195,/event-date/climbing-trip-spain--2019-03-30-195,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event/deep-water-solo-mallorca,/event/deep-water-solo-mallorca,/event,true,false,/trips/deep-water-solo-mallorca/mallorca,true,tier1-exact,tier1-redirect-readiness.csv,verified-tier1-identity,/trips/deep-water-solo-mallorca/mallorca,
https://rockbusters.net/event/climbing-trip-europe,/event/climbing-trip-europe,/event,true,false,/trips/europe-rock-climbing-trip,true,tier1-exact,tier1-redirect-readiness.csv,verified-tier1-identity,/trips/europe-rock-climbing-trip,
https://rockbusters.net/event/sport-climbing,/event/sport-climbing,/event,true,false,/trips/sport-climbing,true,tier1-exact,tier1-redirect-readiness.csv,verified-tier1-identity,/trips/sport-climbing,
https://rockbusters.net/event/girls-climbing,/event/girls-climbing,/event,true,false,/trips/woman-climbing/cuenca,true,tier1-exact,tier1-redirect-readiness.csv,verified-tier1-identity,/trips/woman-climbing/cuenca,
https://rockbusters.net/test-center/,/test-center,/test-center,true,false,/trips,true,unreviewed,legacy-redirect-decisions.json,,,approved-browse-fallback-not-equivalent
https://rockbusters.net/partner/,/partner,/partner,true,false,/trips,true,unreviewed,legacy-redirect-decisions.json,,,approved-browse-fallback-not-equivalent
https://rockbusters.net/event/,/event,/event,true,false,/trips,true,unreviewed,legacy-redirect-decisions.json,approved-browse-index-successor,/trips,
https://rockbusters.net/terms-and-conditions,/terms-and-conditions,/terms-and-conditions,true,false,/terms-and-conditions,false,unreviewed,legacy-redirect-decisions.json,,,same-path-cms-page-not-yet-in-named-sitemap
https://rockbusters.net/event-date/klemen-becan-performance-coaching-workshop--2018-07-10-213,/event-date/klemen-becan-performance-coaching-workshop--2018-07-10-213,/event-date,true,false,/trips?category=performance-technique-camps,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/alpine-rock-climbing-in-chamonix--2018-07-28-201,/event-date/alpine-rock-climbing-in-chamonix--2018-07-28-201,/event-date,true,false,/trips?category=trad-multipitch,false,category-fallback-empty-category,legacy-redirect-decisions.json,,,category-fallback-empty-category
https://rockbusters.net/event-date/trad-and-multipitch-climbing--2018-08-06-212,/event-date/trad-and-multipitch-climbing--2018-08-06-212,/event-date,true,false,/trips?category=trad-multipitch,false,category-fallback-empty-category,legacy-redirect-decisions.json,,,category-fallback-empty-category
https://rockbusters.net/event-date/climbing-trip-europe--2018-08-18-159,/event-date/climbing-trip-europe--2018-08-18-159,/event-date,true,false,/trips/europe-rock-climbing-trip/labske-udoli,true,ready-indexable-equivalent-variant,all-old-url-inventory.csv,historical-equivalent-variant,/trips/europe-rock-climbing-trip/labske-udoli,
https://rockbusters.net/event-date/climbing-trip-europe--2018-08-25-160,/event-date/climbing-trip-europe--2018-08-25-160,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
https://rockbusters.net/event-date/alpine-rock-climbing-in-chamonix--2018-08-25-202,/event-date/alpine-rock-climbing-in-chamonix--2018-08-25-202,/event-date,true,false,/trips?category=trad-multipitch,false,category-fallback-empty-category,legacy-redirect-decisions.json,,,category-fallback-empty-category
https://rockbusters.net/event-date/climbing-trip-europe--2018-09-01-161,/event-date/climbing-trip-europe--2018-09-01-161,/event-date,true,false,/trips?category=expeditions,false,category-fallback-ready,legacy-redirect-decisions.json,,,category-fallback-ready
