classification,source,destination,reason
category-fallback-ready,/event-date/beginners-climbing--2018-07-07-167,/trips?category=sport-climbing-courses,Exact canonical Date 151; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category sport-climbing-courses; 10 future category Dates
ready-indexable-equivalent-variant,/event-date/beginners-climbing--2018-07-07-214,/trips/beginner-climbing-course/sella,Exact canonical Date 193; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/bouldering-albarracin--2018-04-07-154,/trips/bouldering-albarracin/albarracin,Exact canonical Date 138; same Event and exact Location set; reviewed Variant
category-fallback-ready,/event-date/climbing-trip-europe--2018-08-18-149,/trips?category=expeditions,Exact canonical Date 134; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category expeditions; 17 future category Dates
ready-indexable-equivalent-variant,/event-date/climbing-trip-europe--2018-08-18-159,/trips/europe-rock-climbing-trip/labske-udoli,Exact canonical Date 143; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/climbing-trip-europe--2018-09-08-162,/trips/europe-rock-climbing-trip/finale-ligure,Exact canonical Date 146; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/climbing-trip-europe--2018-09-15-163,/trips/europe-rock-climbing-trip/ceuse,Exact canonical Date 147; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/climbing-trip-europe--2018-09-22-164,/trips/europe-rock-climbing-trip/gorges-du-tarn,Exact canonical Date 148; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/climbing-trip-europe--2018-09-29-165,/trips/europe-rock-climbing-trip/margalef,Exact canonical Date 149; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/climbing-trip-europe--2018-10-06-166,/trips/europe-rock-climbing-trip/rodellar,Exact canonical Date 150; same Event and exact Location set; reviewed Variant
category-fallback-ready,/event-date/climbing-trip-europe--2019-08-17-206,/trips?category=expeditions,Exact canonical Date 185; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category expeditions; 17 future category Dates
category-fallback-ready,/event-date/climbing-trip-spain--2018-03-31-133,/trips?category=expeditions,Exact canonical Date 120; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category expeditions; 17 future category Dates
category-fallback-ready,/event-date/climbing-trip-spain--2018-04-07-142,/trips?category=expeditions,Exact canonical Date 129; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category expeditions; 17 future category Dates
ready-indexable-equivalent-variant,/event-date/climbing-trip-spain--2018-04-14-151,/trips/climbing-trip-spain/margalef,Exact canonical Date 135; same Event and exact Location set; reviewed Variant
category-fallback-ready,/event-date/climbing-trip-spain--2019-03-30-195,/trips?category=expeditions,Exact canonical Date 174; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category expeditions; 17 future category Dates
ready-indexable-equivalent-variant,/event-date/climbing-trip-spain--2019-03-30-196,/trips/climbing-trip-spain/sella,Exact canonical Date 175; same Event and exact Location set; reviewed Variant
category-fallback-ready,/event-date/climbing-trip-spain--2019-04-06-197,/trips?category=expeditions,Exact canonical Date 176; no unique current Variant with the same Location set; historical direct route currently 404 because local slug is missing; matching active Event category expeditions; 17 future category Dates
ready-indexable-equivalent-variant,/event-date/climbing-trip-spain--2019-04-13-198,/trips/climbing-trip-spain/margalef,Exact canonical Date 177; same Event and exact Location set; reviewed Variant
ready-indexable-equivalent-variant,/event-date/climbing-trip-spain--2019-04-20-199,/trips/climbing-trip-spain/siurana,Exact canonical Date 178; same Event and exact Location set; reviewed Variant
