file,design,legacy_booking_id,event_id,event_slug,event_title,date_ids,selected_active_id,from,to,source_locations,notes,match_basis
PROJECT ESPANA/rockbusters_espana_chulilla.html,PROJECT ESPAÑA 2027 CHULILLA,860,17,climbing-trip-spain,Spanish Climbing Trip,749,749,2027-02-27,2027-03-06,chulilla,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
PROJECT ESPANA/rockbusters_espana_margalef.html,PROJECT ESPAÑA 2027 MARGALEF,862,17,climbing-trip-spain,Spanish Climbing Trip,751,751,2027-03-13,2027-03-20,margalef,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
PROJECT ESPANA/rockbusters_espana_sella.html,PROJECT ESPAÑA 2027 SELLA,859,17,climbing-trip-spain,Spanish Climbing Trip,748,748,2027-02-20,2027-02-27,sella,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
PROJECT ESPANA/rockbusters_espana_siurana.html,PROJECT ESPAÑA 2027 SIURANA,861,17,climbing-trip-spain,Spanish Climbing Trip,750,750,2027-03-06,2027-03-13,siurana,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,PROJECT ESPAÑA 2027,858,17,climbing-trip-spain,Spanish Climbing Trip,747,747,2027-02-20,2027-03-20,"chulilla, margalef, sella, siurana",,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,ROCK & ROAD 2026 CÉÜSE,785,9,europe-rock-climbing-trip,Europe  Climbing Trip,684,684,2026-09-12,2026-09-19,ceuse,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___frankenjura-rock-road-europe-2026-08-22.html,ROCK & ROAD 2026 FRANKENJURA,788,9,europe-rock-climbing-trip,Europe  Climbing Trip,687,687,2026-08-22,2026-08-29,frankenjura,Already started/past on audit date: public route may fall back to another occurrence.,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___gorges-du-tarn-rock-road-europe-2026-09-19.html,ROCK & ROAD 2026 GORGES DU TARN,784,9,europe-rock-climbing-trip,Europe  Climbing Trip,683,683,2026-09-19,2026-09-26,gorges-du-tarn,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___labske-udoli-rock-road-europe-2026-08-15.html,ROCK & ROAD 2026: LABSKE UDOLI,790,9,europe-rock-climbing-trip,Europe  Climbing Trip,689,689,2026-08-15,2026-08-22,labske-udoli,Already started/past on audit date: public route may fall back to another occurrence.,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
ROCK & ROAD/event-date___margalef-rock-road-europe-2026-09-26.html,ROCK & ROAD 2026 MARGALEF,783,9,europe-rock-climbing-trip,Europe  Climbing Trip,682,682,2026-09-26,2026-10-03,margalef,,Primary HTML booking link -> legacy source row -> current Event slug + exact dates; current DB read-only verification
