design_file,section,present,heading,eyebrow,nested_labels_or_columns
PROJECT ESPANA/rockbusters_espana_chulilla.html,Hero,True,PROJECT ESPAÑA 2027 CHULILLA,,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coach
PROJECT ESPANA/rockbusters_espana_chulilla.html,Facts strip,True,,,Turia River Canyon | 7 Days | Longest Single Pitches | Min. Participants | Week 2 of the 4-Week Trip
PROJECT ESPANA/rockbusters_espana_chulilla.html,Overview,True,Where Endurance Gets Built,About This Leg,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Overview fact tiles,True,,,Duration | Location | Route Length | Group Size | Coach | Price
PROJECT ESPANA/rockbusters_espana_chulilla.html,Other dates / route schedule / related notice,True,Project España 2027 — Full Schedule,The Full Journey,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Gallery,True,"Tufas, Canyon Walls & Sustained Pump","Real Rock, Real Chulilla",
PROJECT ESPANA/rockbusters_espana_chulilla.html,Audience,True,Built for the Endurance-Curious,Who Should Show Up,The Sella Graduate | The Efficiency Seeker | The Medieval Village Romantic
PROJECT ESPANA/rockbusters_espana_chulilla.html,Learning pillars,True,Three Skills Worth the Pump,The Coaching,Technique | Mental Game | Tactics
PROJECT ESPANA/rockbusters_espana_chulilla.html,Programme / daily flow,True,A Typical Day,Daily Structure,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Programme companion panel,True,Which Format?,1 Week vs Full Trip,"What's Included | 1 Week €1,050 | Full Trip €3,550"
PROJECT ESPANA/rockbusters_espana_chulilla.html,Venue / route area,True,"Chulilla, Spain",The Venue,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Coaches / guides,True,World-Class Coaching,Your Coach,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Reviews,True,What Past Climbers Say,Results,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
PROJECT ESPANA/rockbusters_espana_chulilla.html,Inclusions / package,True,Full Package,What's Included,
PROJECT ESPANA/rockbusters_espana_chulilla.html,FAQ,True,Common Questions,FAQ,
PROJECT ESPANA/rockbusters_espana_chulilla.html,Closing booking CTA,True,Ready to Build Some Endurance?,Reserve Your Place,"Reserve Your Place | Read the Programme | Book Now — €1,050"
PROJECT ESPANA/rockbusters_espana_margalef.html,Hero,True,PROJECT ESPAÑA 2027 MARGALEF,,
PROJECT ESPANA/rockbusters_espana_margalef.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coach
PROJECT ESPANA/rockbusters_espana_margalef.html,Facts strip,True,,,Pocket Paradise | 7 Days | Routes | Min. Participants | Week 4 of 4 — The Finale
PROJECT ESPANA/rockbusters_espana_margalef.html,Overview,True,Where the Journey Gets Tested,About This Leg,
PROJECT ESPANA/rockbusters_espana_margalef.html,Overview fact tiles,True,,,Duration | Location | Routes | Group Size | Coach | Price
PROJECT ESPANA/rockbusters_espana_margalef.html,Other dates / route schedule / related notice,True,Project España 2027 — Full Schedule,The Full Journey,
PROJECT ESPANA/rockbusters_espana_margalef.html,Gallery,True,"Pockets, Power & The Finish Line","Real Rock, Real Margalef",
PROJECT ESPANA/rockbusters_espana_margalef.html,Audience,True,Built for the Trip's Last Send,Who Should Show Up,The Full-Trip Finisher | The Pocket Puller | The Community Seeker
PROJECT ESPANA/rockbusters_espana_margalef.html,Learning pillars,True,Three Skills Worth the Finale,The Coaching,Technique | Mental Game | Tactics
PROJECT ESPANA/rockbusters_espana_margalef.html,Programme / daily flow,True,A Typical Day,Daily Structure,
PROJECT ESPANA/rockbusters_espana_margalef.html,Programme companion panel,True,Which Format?,1 Week vs Full Trip,"What's Included | 1 Week €1,050 | Full Trip €3,550"
PROJECT ESPANA/rockbusters_espana_margalef.html,Venue / route area,True,"Margalef, Spain",The Venue,
PROJECT ESPANA/rockbusters_espana_margalef.html,Coaches / guides,True,World-Class Coaching,Your Coach,
PROJECT ESPANA/rockbusters_espana_margalef.html,Reviews,True,What Past Climbers Say,Results,
PROJECT ESPANA/rockbusters_espana_margalef.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
PROJECT ESPANA/rockbusters_espana_margalef.html,Inclusions / package,True,Full Package,What's Included,
PROJECT ESPANA/rockbusters_espana_margalef.html,FAQ,True,Common Questions,FAQ,
PROJECT ESPANA/rockbusters_espana_margalef.html,Closing booking CTA,True,Ready for the Grand Finale?,Reserve Your Place,"Reserve Your Place | Read the Programme | Book Now — €1,050"
PROJECT ESPANA/rockbusters_espana_sella.html,Hero,True,PROJECT ESPAÑA 2027 SELLA,,
PROJECT ESPANA/rockbusters_espana_sella.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coach
PROJECT ESPANA/rockbusters_espana_sella.html,Facts strip,True,,,"Costa Blanca, Spain | 7 Days | Min. Lead Grade | Min. Participants | Week 1 of the 4-Week Trip"
PROJECT ESPANA/rockbusters_espana_sella.html,Overview,True,Where the Journey Begins,About This Leg,
PROJECT ESPANA/rockbusters_espana_sella.html,Overview fact tiles,True,,,Duration | Location | Min. Lead Grade | Group Size | Coach | Price
PROJECT ESPANA/rockbusters_espana_sella.html,Other dates / route schedule / related notice,True,Project España 2027 — Full Schedule,The Full Journey,
PROJECT ESPANA/rockbusters_espana_sella.html,Gallery,True,"Pockets, Village Life & The Foundation","Real Rock, Real Sella",
PROJECT ESPANA/rockbusters_espana_sella.html,Audience,True,Built for the Trip Starters,Who Should Show Up,The Trip Starter | The Foundation Builder | The Village Life Seeker
PROJECT ESPANA/rockbusters_espana_sella.html,Learning pillars,True,Three Skills Worth the Foundation,The Coaching,Technique | Mental Game | Tactics
PROJECT ESPANA/rockbusters_espana_sella.html,Programme / daily flow,True,A Typical Day,Daily Structure,
PROJECT ESPANA/rockbusters_espana_sella.html,Programme companion panel,True,Which Format?,1 Week vs Full Trip,"What's Included | 1 Week €1,050 | Full Trip €3,550"
PROJECT ESPANA/rockbusters_espana_sella.html,Venue / route area,True,"Sella, Spain",The Venue,
PROJECT ESPANA/rockbusters_espana_sella.html,Coaches / guides,True,World-Class Coaching,Your Coach,
PROJECT ESPANA/rockbusters_espana_sella.html,Reviews,True,What Past Climbers Say,Results,
PROJECT ESPANA/rockbusters_espana_sella.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
PROJECT ESPANA/rockbusters_espana_sella.html,Inclusions / package,True,Full Package,What's Included,
PROJECT ESPANA/rockbusters_espana_sella.html,FAQ,True,Common Questions,FAQ,
PROJECT ESPANA/rockbusters_espana_sella.html,Closing booking CTA,True,Ready to Start in Sella?,Reserve Your Place,"Reserve Your Place | Read the Programme | Book Now — €1,050"
PROJECT ESPANA/rockbusters_espana_siurana.html,Hero,True,PROJECT ESPAÑA 2027 SIURANA,,
PROJECT ESPANA/rockbusters_espana_siurana.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coach
PROJECT ESPANA/rockbusters_espana_siurana.html,Facts strip,True,,,Historic Catalan Limestone | 7 Days | Crimps & Precision | Min. Participants | Week 3 of the 4-Week Trip
PROJECT ESPANA/rockbusters_espana_siurana.html,Overview,True,Where Finesse Beats Power,About This Leg,
PROJECT ESPANA/rockbusters_espana_siurana.html,Overview fact tiles,True,,,Duration | Location | Style | Group Size | Coach | Price
PROJECT ESPANA/rockbusters_espana_siurana.html,Other dates / route schedule / related notice,True,Project España 2027 — Full Schedule,The Full Journey,
PROJECT ESPANA/rockbusters_espana_siurana.html,Gallery,True,"Crimps, History & Precision","Real Rock, Real Siurana",
PROJECT ESPANA/rockbusters_espana_siurana.html,Audience,True,Built for the Technically Curious,Who Should Show Up,The Endurance Graduate | The Climbing Historian | The Wine-and-Rock Romantic
PROJECT ESPANA/rockbusters_espana_siurana.html,Learning pillars,True,Three Skills Worth the Precision,The Coaching,Technique | Mental Game | Tactics
PROJECT ESPANA/rockbusters_espana_siurana.html,Programme / daily flow,True,A Typical Day,Daily Structure,
PROJECT ESPANA/rockbusters_espana_siurana.html,Programme companion panel,True,Which Format?,1 Week vs Full Trip,"What's Included | 1 Week €1,050 | Full Trip €3,550"
PROJECT ESPANA/rockbusters_espana_siurana.html,Venue / route area,True,"Siurana, Spain",The Venue,
PROJECT ESPANA/rockbusters_espana_siurana.html,Coaches / guides,True,World-Class Coaching,Your Coach,
PROJECT ESPANA/rockbusters_espana_siurana.html,Reviews,True,What Past Climbers Say,Results,
PROJECT ESPANA/rockbusters_espana_siurana.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
PROJECT ESPANA/rockbusters_espana_siurana.html,Inclusions / package,True,Full Package,What's Included,
PROJECT ESPANA/rockbusters_espana_siurana.html,FAQ,True,Common Questions,FAQ,
PROJECT ESPANA/rockbusters_espana_siurana.html,Closing booking CTA,True,Ready for Some Precision Climbing?,Reserve Your Place,"Reserve Your Place | Read the Programme | Book Now — €1,050"
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Hero,True,PROJECT ESPAÑA 2027,,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Hero pricing summary,True,,,Dates | Duration | Destinations | Level | Coach
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Facts strip,True,,,"4 Legendary Crags | 28 Days | Min. Lead Grade | Min. Participants per Leg | Full Trip (or €1,050/week)"
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Overview,True,Four Weeks. Four Crags. One Country Done Properly.,About This Trip,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Overview fact tiles,True,,,Duration | Destinations | Min. Lead Grade | Group Size | Coach | Price
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Other dates / route schedule / related notice,True,The Full Project España Route,Pick Your Weeks,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Gallery,True,Sella to Margalef & Everything Between,"Real Rock, Four Crags",
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Audience,True,Built for the Spain-Obsessed,Who Should Show Up,The Grade-Chaser | The Rock-Type Collector | The Community Seeker
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Learning pillars,True,Three Skills Across Four Crags,The Coaching,Technique | Mental Game | Tactics
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Programme / daily flow,True,A Typical Day,Daily Structure,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Programme companion panel,True,Which Format?,1 Week vs Full Trip,"What's Included | 1 Week €1,050 | Full Trip €3,550"
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Venue / route area,True,Sella to Margalef,The Route,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Coaches / guides,True,World-Class Coaching,Your Coach,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Reviews,True,What Past Climbers Say,Results,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Practical logistics,True,We Sorted the Boring Bits,Accommodation & Logistics,Accommodation | Getting There | Gear | Group Size
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Inclusions / package,True,Full Package,What's Included,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,FAQ,True,Common Questions,FAQ,
PROJECT ESPANA/rockbusters_projectespana_fulltrip.html,Closing booking CTA,True,Ready for the Full España Project?,Reserve Your Place,"Reserve the Full Trip | See the Itinerary | Book Full Trip — €3,550"
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Hero,True,ROCK & ROAD 2026 CÉÜSE,,
ROCK & ROAD/event-date___ceuse-rock-road-europe-2026-09-12.html,Hero pricing summary,True,,,Dates | Duration | Location | Level | Coaches
