event_date_id,event_id,event_title,from,to,locations,design_context,existing_structured_content,missing_structured_content,preview_url,cms_url
3,2,DEEP BLUE — The Psicobloc Camp,2026-09-12,2026-09-19,,"Related DEEP BLUE/Mallorca design maps by booking identity to Event 18, Date 774.",audience; FAQ,overview; learning; programme; comparison/options; venue copy; logistics; package; section heading overrides,http://localhost:4444/trips/deep-blue-psicobloc?date=3,http://localhost:4444/admin/collections/event-dates/3
651,8,Sport Climbing Camp,2026-09-26,2026-10-03,"Kalymnos, Greece",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=651,http://localhost:4444/admin/collections/event-dates/651
736,18,Deep Water Solo / Mallorka,2026-09-26,2026-10-10,"Mallorca, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/deep-water-solo-mallorca?date=736,http://localhost:4444/admin/collections/event-dates/736
734,18,Deep Water Solo / Mallorka,2026-09-26,2026-10-03,"Mallorca, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/deep-water-solo-mallorca?date=734,http://localhost:4444/admin/collections/event-dates/734
744,8,Sport Climbing Camp,2026-10-03,2026-10-10,"Kalymnos, Greece",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/sport-climbing?date=744,http://localhost:4444/admin/collections/event-dates/744
735,18,Deep Water Solo / Mallorka,2026-10-03,2026-10-10,"Mallorca, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/deep-water-solo-mallorca?date=735,http://localhost:4444/admin/collections/event-dates/735
778,5,Bouldering Albarracin,2026-10-31,2026-11-14,"Albarracin, Spain",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/bouldering-albarracin?date=778,http://localhost:4444/admin/collections/event-dates/778
738,33,Master Class Coaching with Klemen Bečan,2026-11-14,2026-11-21,"Kyparissi, Greece",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climbing-technique-mental-coaching?date=738,http://localhost:4444/admin/collections/event-dates/738
737,33,Master Class Coaching with Klemen Bečan,2026-11-14,2026-11-28,"Kyparissi, Greece",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climbing-technique-mental-coaching?date=737,http://localhost:4444/admin/collections/event-dates/737
675,4,Novice course,2026-11-21,2026-11-28,"Sella, Spain",Other occurrence(s) of this Event have mapped designs; this date was not enriched.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/beginner-climbing-course?date=675,http://localhost:4444/admin/collections/event-dates/675
739,33,Master Class Coaching with Klemen Bečan,2026-11-21,2026-11-28,"Kyparissi, Greece",No audited dedicated design mapping for this Event.,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,http://localhost:4444/trips/climbing-technique-mental-coaching?date=739,http://localhost:4444/admin/collections/event-dates/739
